sr_no,date,name,industry,sub_vertical,city,investor,investment type,amount_usd,remarks,year,month,day
1460,8/19/16,Digio,TECHNOLOGY,Aadhar based Document Signing platform,Bangalore,RAINMATTER,Private Equity,375000,,2016,8,19
1461,8/19/16,Ziffity,TECHNOLOGY,Full Service Ecommerce Agency,Chennai,ASPIRE SYSTEMS,Private Equity,,,2016,8,19
1462,8/22/16,Zzungry,CONSUMER INTERNET,Food Delivery platform,Bangalore,"SATISH VASUDEVA, MADHUSUDHAN JUJARE,OTHERS",Seed Funding,,,2016,8,22
1463,8/22/16,Puro Wellness,HEALTHCARE,"Organic, Natural Food substitute manufacturer",Mumbai,TORRENT GROUP,Private Equity,37000000,,2016,8,22
1464,8/22/16,Fitternity,CONSUMER INTERNET,"Fitness Gym,Services Discovery platform",Mumbai,"SAHA FUND, EXFINITY VENTURE PARTNERS,OTHERS",Private Equity,,,2016,8,22
1465,8/23/16,TAC Security,TECHNOLOGY,Cyber-Security Solutions Provider,New Delhi,VIJAY KEDIA,Seed Funding,,,2016,8,23
1466,8/23/16,Notesgen,CONSUMER INTERNET,Online Notes Sharing Portal,New Delhi,"RIJU GUPTA, KAMAL CHABRA",Seed Funding,100000,,2016,8,23
1467,8/23/16,NearU,CONSUMER INTERNET,Marketing app for retailers,Mumbai,DR. GOUTAM CHALLAGALLA,Seed Funding,,,2016,8,23
1468,8/23/16,Octo.ai,TECHNOLOGY,Artificial Intelligence based marketing platform,New Delhi,"OUTBOX VENTURES, JASPREET BINDRA, ARJUN MALHOTRA, ROHAN MALHOTRA, SIDHARTH RAO, RAKESH AGRAWAL",Seed Funding,200000,,2016,8,23
1469,8/24/16,ShaadiSaga,CONSUMER INTERNET,Wedding Website Creator,New Delhi,"AH! VENTURES, ANUPAM MITTAL, KUNAL SHAH, SANDEEP TANDON, DHEERAJ JAIN, ROHIT CHOKHANI",Seed Funding,,,2016,8,24
1470,8/24/16,UnaAcademy,CONSUMER INTERNET,Free Interactive education platform,Bangalore,"BLUME VENTURES, SACHIN BANSAL, VIJAY SHEKHAR SHARMA, BINNY BANSAL, KUNAL SHAH, SANDEEP TANDON, ASHISH TULSIAN",Private Equity,1000000,,2016,8,24
1471,8/24/16,Advenio,TECHNOLOGY,Clinical Imaging Solution Provider,Chandigarh,KALAARI CAPITAL,Seed Funding,100000,,2016,8,24
1472,8/24/16,Guarented,ECOMMERCE,Home Furnishing rental marketplace,Bangalore,KALAARI CAPITAL,Seed Funding,500000,,2016,8,24
1473,8/24/16,Beyond Evolution,TECHNOLOGY,"Mobile Apps,Tech Services provider",Gurgaon,"VINEET TANEJA, KAMAL PURI",Seed Funding,,,2016,8,24
1474,8/24/16,Uber Dreams,ECOMMERCE,Dreams fulfilling marketplace,Mumbai,MOHIT LALVANI,Seed Funding,500000,,2016,8,24
1475,8/24/16,Convegenius,EDUCATION,Edutainment platform,Noida,"MICHAEL,SUSAN DELL FOUNDATION",Private Equity,900000,,2016,8,24
1476,8/24/16,UrbanLadder,ECOMMERCE,Online Furniture Store,Mumbai,TRIFECTA CAPITAL,Private Equity,3000000,,2016,8,24
1477,8/24/16,enCashea,CONSUMER INTERNET,"Scrap Collection,Recycling platform",Bangalore,"KUNAL SHAH, SANDEEP TANDON, TRACXN LABS",Seed Funding,,,2016,8,24
1478,8/25/16,EngineerBabu,TECHNOLOGY,"Mobile App,Web Development company",Indore,SCALE VENTURES,Seed Funding,,,2016,8,25
1479,8/25/16,Cult,HEALTHCARE,"Health,Fitness Centres",Bangalore,CUREFIT,Private Equity,3000000,,2016,8,25
1480,8/25/16,WitWorks,TECHNOLOGY,Consumer IoT Startup,Bangalore,"FIRESIDE VENTURES, INVESTOPAD, P39 CAPITAL, ANUPAM MITTAL, PRANAY JIVRAJKA, MANINDER GULATI, ABHINAV SINHA",Seed Funding,,,2016,8,25
1481,8/25/16,NearFox,CONSUMER INTERNET,"Local Lifestyle Content,Discovery Platform",Mumbai,"GLOBEVESTOR ANGEL FUND, DEVENDRA RANE, RAVI JAIN, ARPAN NAGDEVE",Seed Funding,,,2016,8,25
1482,8/25/16,ZoomCar,CONSUMER INTERNET,Self-driven car booking platform,Bangalore,FORD SMART MOBILITY LLC,Private Equity,24000000,,2016,8,25
1483,8/26/16,Plix,CONSUMER INTERNET,"Photo,Video Sharing App",Gurgaon,INSTALABS,Seed Funding,500000,,2016,8,26
1484,8/26/16,Mobikwik,CONSUMER INTERNET,Digital Wallet platform,Gurgaon,NET1 UEPS TECHNOLOGIES INC,Private Equity,40000000,,2016,8,26
1485,8/26/16,MyDidi,CONSUMER INTERNET,"on-demand, hyper-local Cleaning services provider",Mumbai,"UNDISCLOSED EX MCKINSEY DIRECTORS,PARTNERS",Seed Funding,550000,,2016,8,26
1486,8/26/16,CrownIt,CONSUMER INTERNET,Cashback Mobile app,Gurgaon,"KUNAL SHAH,SANDEEP TANDON, GIRISH MATHRUBOOTHAM, ANAND CHANDRASEKARAN",Seed Funding,,,2016,8,26
1487,8/29/16,LoanTap,CONSUMER INTERNET,Lending platform for Salaried professionals,Mumbai,"DR. ABHISHEK PANDEY, JAYSUKH SAPRA",Private Equity,3000000,,2016,8,29
1488,8/29/16,Runnr,CONSUMER INTERNET,hyperlocal Logistics services provider,Bangalore,"NEXUS VENTURE PARTNERS, BLUME VENTURES",Private Equity,7000000,,2016,8,29
1489,8/29/16,Zolo,CONSUMER INTERNET,on-demand online talent marketplace,Noida,HITOUCH AG,Private Equity,,,2016,8,29
1490,8/29/16,Notion Press,CONSUMER INTERNET,Self-Publishing books platform,Chennai,UNDISCLOSED HNI INVESTORS,Private Equity,1000000,,2016,8,29
1491,8/29/16,LivSpace,CONSUMER INTERNET,Online portal for Home Design,Bangalore,"BESSEMER VENTURE PARTNERS, JUNGLE VENTURES, HELION VENTURES",Private Equity,15000000,,2016,8,29
1492,8/30/16,iAugmentor Labs,TECHNOLOGY,"Assessment,Learning Platform",Gurgaon,"RAJASTHAN ANGEL INVESTOR NETWORK,OTHERS",Seed Funding,149000,,2016,8,30
1493,8/30/16,DayBox,CONSUMER INTERNET,"Fruit,Vegetable Delivery platform",New Delhi,"ASHUTOSH LAWANIA, RAJUL JAIN, BADAL MALICK, RISHI GUPTA,OTHERS",Seed Funding,104000,,2016,8,30
1494,8/30/16,Paytm,ECOMMERCE,"Mobile Wallet,ECommerce platform",Bangalore,MEDIATEK INC.,Private Equity,60000000,,2016,8,30
1495,8/30/16,CropIn,TECHNOLOGY,Agriculture Technology Solutions,Bangalore,SOPHIA INVESTMENT APS,Private Equity,2000000,,2016,8,30
1496,8/30/16,Canvera,CONSUMER INTERNET,"Photographer Discovery,Information platform",Bangalore,INFO EDGE (INDIA) LTD,Private Equity,3000000,,2016,8,30
1497,8/30/16,Prime Focus Technologies,TECHNOLOGY,Hybrid Cloud technology enabled Media ERP platform,Mumbai,AMBIT PRAGMA,Private Equity,,,2016,8,30
1498,8/31/16,Flyrobe,ECOMMERCE,Online fashion rental platform,Mumbai,"IDG VENTURES, SEQUOIA CAPITAL, GREE VENTURES",Private Equity,5300000,,2016,8,31
1499,8/31/16,inclov,CONSUMER INTERNET,Matchmaking App for Disabled,Mumbai,"SARBVIR SINGH, RAGHAV BAHL",Seed Funding,,,2016,8,31
1500,1/7/16,RazorPay,CONSUMER INTERNET,Online Payment Gateway,Bangalore,MASTERCARD,Private Equity,,,2016,1,7
1501,1/7/16,DarwinBox,TECHNOLOGY,HR Software Services Startup,Hyderabad,"3ONE4 CAPITAL, TRACXN LABS, AARUHA TECHNOLOGY FUND, ENDIYA PARTNERS",Seed Funding,,,2016,1,7
1502,1/7/16,Venture Catalysts,CONSUMER INTERNET,"Seed Investment,Innovation Platform",Mumbai,ZAFFIRO VENTURES,Seed Funding,500000,,2016,1,7
1503,1/7/16,PressPlay TV,CONSUMER INTERNET,Video Content Discovery Platform,New Delhi,"SEQUOIA CAPITAL, SD VENTURES, VISTAAR INVESTMENT ADVISORS PVT. LTD.",Private Equity,,,2016,1,7
1504,2/7/16,Playment,CONSUMER INTERNET,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF PARTNERS,Private Equity,700000,,2016,2,7
1505,4/7/16,WealthTrust,CONSUMER INTERNET,Wealth Management App,Mumbai,INDIA QUOTIENT,Seed Funding,,,2016,4,7
1506,4/7/16,Curefit,CONSUMER INTERNET,Online Preventive Healthcare Platform,Bangalore,"ACCEL PARTNERS, IDG VENTURES, KALAARI CAPITAL",Private Equity,15000000,,2016,4,7
1507,4/7/16,StitchWood,ECOMMERCE,Custom Furniture Online,Mumbai,DEEPAK GUPTA,Seed Funding,200000,,2016,4,7
1508,4/7/16,Grab.in,LOGISTICS,hyperlocal logistics service,Mumbai,ARAMEX VENTURES LLC,Private Equity,2000000,,2016,4,7
1509,4/7/16,Fulfil.IO,CONSUMER INTERNET,Cloud Based ERP Software,US,RAJAN ANANDAN,Seed Funding,,,2016,4,7
1510,4/7/16,NeoGrowth,FINANCE,SME Lending platform,Mumbai,"IIFL WEALTH MANAGEMENT SEED VENTURE FUND, OMIDYAR NETWORK, KHOSLA IMPACT, ASPADA",Private Equity,16000000,,2016,4,7
1511,5/7/16,SeeDoc,CONSUMER INTERNET,Video Based Doctor Consulting platform App,Gurgaon,"YOURNEST ANGEL FUND,OTHERS",Private Equity,1000000,,2016,5,7
1512,5/7/16,BookMyShow,CONSUMER INTERNET,"Event,Movie Ticketing platform",Mumbai,"STRIPES GROUP, NETWORK 18, ACCEL PARTNERS, SAIF PARTNERS",Private Equity,82000000,,2016,5,7
1513,5/7/16,Flyrobe,ECOMMERCE,Online fashion rental platform,Mumbai,"SEQUOIA CAPITAL, ROHIT BANSAL, KUNAL BAHL, SANDEEP TANDON, KUNAL SHAH, ZISHAAN HAYATH, ABHISHEK JAIN",Seed Funding,1700000,,2016,5,7
1514,6/7/16,HappilyUnmarried,ECOMMERCE,Online Merchandize etailer,New Delhi,INFO EDGE (INDIA) LTD,Private Equity,740000,,2016,6,7
1515,6/7/16,Dont Scratch Your Head,TECHNOLOGY,"Full Stack Offline,Online ERP Solution",Ahmedabad,"GAURAV SINGHVI, ZAFFIRO VENTURES",Seed Funding,250000,,2016,6,7
1516,6/7/16,Wedding Wishlist,CONSUMER INTERNET,"Wedding Wishlist, Gifts,Registry Creation platform",Chennai,"KIRTHIGA REDDY, RENUKA RAMANATH,CHERRY TIN",Seed Funding,297000,,2016,6,7
